Date,Close
01/04/2016 16:00,223.41
01/05/2016 16:00,223.43
01/06/2016 16:00,219.04
01/07/2016 16:00,215.65
01/08/2016 16:00,211
01/11/2016 16:00,207.85
01/12/2016 16:00,209.97
1/13/2016 16:00:00,200.31
1/14/2016 16:00:00,206.18
1/15/2016 16:00:00,204.99
1/19/2016 16:00:00,204.72
1/20/2016 16:00:00,198.7
1/21/2016 16:00:00,199.97
1/22/2016 16:00:00,202.55
1/25/2016 16:00:00,196.38
1/26/2016 16:00:00,193.56
1/27/2016 16:00:00,188.07
1/28/2016 16:00:00,189.7
1/29/2016 16:00:00,191.2
02/01/2016 16:00,196.94
02/02/2016 16:00,182.78
02/03/2016 16:00,173.48
02/04/2016 16:00,175.33
02/05/2016 16:00,162.6
02/08/2016 16:00,147.99
02/09/2016 16:00,148.25
02/10/2016 16:00,143.67
02/11/2016 16:00,150.47
02/12/2016 16:00,151.04
2/16/2016 16:00:00,155.17
2/17/2016 16:00:00,168.68
2/18/2016 16:00:00,166.77
2/19/2016 16:00:00,166.58
2/22/2016 16:00:00,177.74
2/23/2016 16:00:00,177.21
2/24/2016 16:00:00,179
2/25/2016 16:00:00,187.43
2/26/2016 16:00:00,190.34
2/29/2016 16:00:00,191.93
03/01/2016 16:00,186.35
03/02/2016 16:00,188.34
03/03/2016 16:00,195.74
03/04/2016 16:00,201.04
03/07/2016 16:00,205.29
03/08/2016 16:00,202.6
03/09/2016 16:00,208.72
03/10/2016 16:00,205.18
03/11/2016 16:00,207.5
3/14/2016 16:00:00,215.15
3/15/2016 16:00:00,218.34
3/16/2016 16:00:00,221.93
3/17/2016 16:00:00,226.38
3/18/2016 16:00:00,232.74
3/21/2016 16:00:00,238.32
3/22/2016 16:00:00,234.24
3/23/2016 16:00:00,222.58
3/24/2016 16:00:00,227.75
3/28/2016 16:00:00,230.26
3/29/2016 16:00:00,230.13
3/30/2016 16:00:00,226.89
3/31/2016 16:00:00,229.77
04/01/2016 16:00,237.59
04/04/2016 16:00,246.99
04/05/2016 16:00,255.47
04/06/2016 16:00,265.42
04/07/2016 16:00,257.2
04/08/2016 16:00,250.07
04/11/2016 16:00,249.92
04/12/2016 16:00,247.82
4/13/2016 16:00:00,254.53
4/14/2016 16:00:00,251.86
4/15/2016 16:00:00,254.51
4/18/2016 16:00:00,253.88
4/19/2016 16:00:00,247.37
4/20/2016 16:00:00,249.97
4/21/2016 16:00:00,248.29
4/22/2016 16:00:00,253.75
4/25/2016 16:00:00,251.82
4/26/2016 16:00:00,253.74
4/27/2016 16:00:00,251.47
4/28/2016 16:00:00,247.71
4/29/2016 16:00:00,240.76
05/02/2016 16:00,241.8
05/03/2016 16:00,232.32
05/04/2016 16:00,222.56
05/05/2016 16:00,211.53
05/06/2016 16:00,214.93
05/09/2016 16:00,208.92
05/10/2016 16:00,208.69
05/11/2016 16:00,208.96
05/12/2016 16:00,207.28
5/13/2016 16:00:00,207.61
5/16/2016 16:00:00,208.29
5/17/2016 16:00:00,204.66
5/18/2016 16:00:00,211.17
5/19/2016 16:00:00,215.21
5/20/2016 16:00:00,220.28
5/23/2016 16:00:00,216.22
5/24/2016 16:00:00,217.91
5/25/2016 16:00:00,219.58
5/26/2016 16:00:00,225.12
5/27/2016 16:00:00,223.04
5/31/2016 16:00:00,223.23
06/01/2016 16:00,219.56
06/02/2016 16:00,218.96
06/03/2016 16:00,218.99
06/06/2016 16:00,220.68
06/07/2016 16:00,232.34
06/08/2016 16:00,235.52
06/09/2016 16:00,229.36
06/10/2016 16:00,218.79
6/13/2016 16:00:00,217.87
