id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0396440,videoGame,Alien Hominid,Alien Hominid,0.0,2004.0,,,"Action,Adventure",7.0,111.0,,,,,2000.0
tt0397020,videoGame,.hack//Quarantine,.hack//Zettai houi vol. 4,0.0,2003.0,,,"Action,Adventure,Drama",7.3,32.0,,,,,2000.0
tt0397035,videoGame,Arx Fatalis,Arx Fatalis,0.0,2002.0,,,Action,8.0,71.0,,,,,2000.0
tt0397040,videoGame,Beyond Good & Evil,Beyond Good & Evil,0.0,2003.0,,,"Action,Adventure,Fantasy",8.6,1267.0,,,,,2000.0
tt0397042,videoGame,Resident Evil 4,Biohazard 4,0.0,2005.0,,,"Action,Adventure,Horror",9.2,10395.0,,,,,2000.0
tt0397053,videoGame,Deus Ex: Invisible War,Deus Ex: Invisible War,0.0,2003.0,,,"Action,Sci-Fi",7.1,742.0,,,,,2000.0
tt0397056,videoGame,Evergrace,Evergrace,0.0,2000.0,,,"Action,Fantasy",6.2,16.0,,,,,2000.0
tt0397074,videoGame,Killzone,Killzone,0.0,2004.0,,,"Action,Adventure,Sci-Fi",7.7,1126.0,,,,,2000.0
tt0397089,videoGame,Metroid: Zero Mission,Metroid: Zero Mission,0.0,2004.0,,,"Action,Adventure,Family",8.4,488.0,,,,,2000.0
tt0397092,videoGame,NBA Jam 2004,NBA Jam 2004,0.0,2003.0,,,Sport,6.9,46.0,,,,,2000.0
tt0397107,videoGame,Street Fighter EX3,Street Fighter EX3,0.0,2000.0,,,Action,7.4,98.0,,,,,2000.0
tt0397231,videoGame,2002 FIFA World Cup,2002 FIFA World Cup,0.0,2001.0,,,Sport,7.1,199.0,,,,,2000.0
tt0397556,videoGame,NBA Street Vol. 2,NBA Street Vol. 2,0.0,2003.0,,,"Action,Sport",7.7,114.0,,,,,2000.0
tt0397993,videoGame,Crash Nitro Kart,Crash Nitro Kart,0.0,2003.0,,,"Action,Adventure,Family",7.2,356.0,,,,,2000.0
tt0398022,videoGame,Digimon Racing,Digimon Racing,0.0,2004.0,,,,7.2,15.0,,,,,2000.0
tt0398032,videoGame,Dynasty Tactics 2,Sangokushi senki 2,0.0,2003.0,,,Action,7.3,7.0,,,,,2000.0
tt0398038,videoGame,EVE Online,EVE Online,0.0,2003.0,,,"Action,Adventure,Sci-Fi",7.9,193.0,,,,,2000.0
tt0398153,videoGame,The King of Fighters 2003,The King of Fighters 2003,0.0,2003.0,,,Action,7.6,74.0,,,,,2000.0
tt0398284,videoGame,R-Type Final,R-Type Final,0.0,2003.0,,,"Action,Adventure,Family",7.7,32.0,,,,,2000.0
tt0399128,videoGame,The Haunted Mansion,The Haunted Mansion,0.0,2003.0,,,"Horror,Thriller",6.3,38.0,,,,,2000.0
tt0399538,videoGame,RTX Red Rock,RTX Red Rock,0.0,2003.0,,,"Action,Sci-Fi",7.3,11.0,,,,,2000.0
tt0399904,videoGame,Woody Woodpecker: Escape from Buzz Buzzard Park,Woody Woodpecker: Escape from Buzz Buzzard Park,0.0,2001.0,,,"Adventure,Comedy,Family",6.2,16.0,,,,,2000.0
tt0400178,videoGame,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions,0.0,2003.0,,,Action,5.2,5.0,,,,,2000.0
tt0400290,videoGame,Champions of Norrath: Realms of EverQuest,Champions of Norrath: Realms of EverQuest,0.0,2004.0,,,,8.2,95.0,,,,,2000.0
tt0400351,videoGame,Delta Force: Task Force Dagger,Delta Force: Task Force Dagger,0.0,2002.0,,,Action,6.7,31.0,,,,,2000.0
tt0400382,videoGame,Downhill Domination,Downhill Domination,0.0,2003.0,,,Adventure,8.6,29.0,,,,,2000.0
tt0400549,videoGame,Jack the Ripper,Jack the Ripper,0.0,2004.0,,,Adventure,5.7,19.0,,,,,2000.0
tt0400636,videoGame,Mario Power Tennis,Mario Tennis GC,0.0,2004.0,,,"Action,Family,Sport",7.5,223.0,,,,,2000.0
tt0400677,videoGame,Nancy Drew: Danger on Deception Island,Nancy Drew: Danger on Deception Island,0.0,2003.0,,,"Adventure,Mystery",8.6,60.0,,,,,2000.0
tt0400738,videoGame,Pitfall: The Lost Expedition,Pitfall: The Lost Expedition,0.0,2004.0,,,Adventure,8.1,64.0,,,,,2000.0
tt0400787,videoGame,SSX 3,SSX 3,0.0,2003.0,,,"Action,Sport",8.3,272.0,,,,,2000.0
tt0401358,videoGame,Curse: The Eye of Isis,Curse: The Eye of Isis,0.0,2003.0,,,"Adventure,Horror,Mystery",6.7,25.0,,,,,2000.0
tt0401373,videoGame,Cyber Troopers Virtual-On Marz,Dennou senki bacharon Mazu,0.0,2003.0,,,"Action,Fantasy,Mystery",6.2,9.0,,,,,2000.0
tt0401422,videoGame,Finding Nemo,Finding Nemo,0.0,2003.0,,,"Action,Adventure,Drama",7.2,512.0,,,,,2000.0
tt0401502,videoGame,I-Ninja,I-Ninja,0.0,2003.0,,,"Action,Adventure",7.6,46.0,,,,,2000.0
tt0401565,videoGame,Nightshade,Kunoichi,0.0,2003.0,,,"Action,Adventure,Sci-Fi",7.2,19.0,,,,,2000.0
tt0401678,videoGame,Nancy Drew: The Haunted Carousel,Nancy Drew: The Haunted Carousel,0.0,2003.0,,,"Adventure,Mystery",8.4,58.0,,,,,2000.0
tt0401707,videoGame,Otogi: Myth of Demons,Otogi,0.0,2002.0,,,"Action,Adventure,Fantasy",8.3,24.0,,,,,2000.0
tt0401768,videoGame,Samurai Shodown V,Samurai Spirits Zero,0.0,2003.0,,,"Action,Adventure",7.2,24.0,,,,,2000.0
tt0401828,videoGame,Tiger Woods PGA Tour Golf 2002,Tiger Woods PGA Tour Golf 2002,0.0,2002.0,,,,6.9,17.0,,,,,2000.0
